NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
8	1	4	YES	0.0000407
8	1	4	YES	0.0000269
8	1	4	YES	0.0001422
8	1	5	YES	0.0001168
8	1	4	YES	0.0000313
8	1	4	YES	0.0000522
8	1	4	YES	0.0001340
8	1	4	YES	0.0000866
8	1	5	YES	0.0001285
8	1	4	YES	0.0001482
8	1	4	YES	0.0000919
8	1	4	YES	0.0001054
8	1	4	YES	0.0000904
8	1	4	YES	0.0000271
8	1	4	YES	0.0000807
8	1	5	YES	0.0002208
8	1	4	YES	0.0001559
8	1	4	YES	0.0000745
8	1	5	YES	0.0001991
8	1	4	YES	0.0000524
8	1	4	YES	0.0000399
8	1	4	YES	0.0000424
8	1	4	YES	0.0002221
8	1	4	YES	0.0001488
8	1	4	YES	0.0000486
8	1	4	YES	0.0001016
8	1	4	YES	0.0000962
8	1	4	YES	0.0001965
8	1	4	YES	0.0001997
8	1	4	YES	0.0001974
8	1	4	YES	0.0001567
8	1	4	YES	0.0001592
8	1	4	YES	0.0000539
8	1	4	YES	0.0000488
8	1	4	YES	0.0000687
8	1	4	YES	0.0001213
8	1	4	YES	0.0000857
8	1	0	NO	0.0052779
8	1	4	YES	0.0000859
8	1	4	YES	0.0001773
8	1	4	YES	0.0000625
8	1	4	YES	0.0000340
8	1	0	NO	0.0037528
8	1	4	YES	0.0000461
8	1	4	YES	0.0000379
8	1	0	NO	0.0037707
8	1	4	YES	0.0001207
8	1	4	YES	0.0000583
8	1	0	NO	0.0041395
8	1	4	YES	0.0000911
8	1	4	YES	0.0000631
8	1	4	YES	0.0000824
8	1	4	YES	0.0000224
8	1	0	NO	0.0060437
8	1	0	NO	0.0055141
8	1	0	NO	0.0054023
8	1	4	YES	0.0001716
8	1	4	YES	0.0000443
8	1	4	YES	0.0001204
8	1	0	NO	0.0049889
8	1	0	NO	0.0058340
8	1	4	YES	0.0000880
8	1	4	YES	0.0001379
8	1	4	YES	0.0000444
8	1	0	NO	0.0056735
8	1	0	NO	0.0024974
8	1	4	YES	0.0000222
8	1	4	YES	0.0001558
8	1	4	YES	0.0000282
8	1	0	NO	0.0038821
8	1	4	YES	0.0000651
8	1	4	YES	0.0000593
8	1	4	YES	0.0000931
8	1	0	NO	0.0042933
NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
9	1	4	YES	0.0005727
9	1	4	YES	0.0000234
9	1	4	YES	0.0000443
9	1	4	YES	0.0001384
9	1	4	YES	0.0001151
9	1	4	YES	0.0000739
9	1	4	YES	0.0001080
9	1	4	YES	0.0001757
9	1	4	YES	0.0000945
9	1	4	YES	0.0000374
9	1	4	YES	0.0001405
9	1	4	YES	0.0001149
9	1	4	YES	0.0001046
9	1	4	YES	0.0001807
9	1	4	YES	0.0000291
9	1	4	YES	0.0000217
9	1	5	YES	0.0002114
9	1	4	YES	0.0000779
9	1	4	YES	0.0000694
9	1	4	YES	0.0001111
9	1	4	YES	0.0000981
9	1	5	YES	0.0002903
9	1	4	YES	0.0000409
9	1	4	YES	0.0000970
9	1	4	YES	0.0000456
9	1	4	YES	0.0001966
9	1	5	YES	0.0000998
9	1	4	YES	0.0000283
9	1	4	YES	0.0001273
9	1	4	YES	0.0000316
9	1	4	YES	0.0001236
9	1	4	YES	0.0000823
9	1	5	YES	0.0002974
9	1	4	YES	0.0001423
9	1	4	YES	0.0000720
9	1	4	YES	0.0001530
9	1	4	YES	0.0000664
9	1	4	YES	0.0000640
9	1	4	YES	0.0000226
9	1	4	YES	0.0000149
9	1	4	YES	0.0000301
9	1	4	YES	0.0001946
9	1	4	YES	0.0000529
9	1	4	YES	0.0001343
9	1	5	YES	0.0000758
9	1	5	YES	0.0002001
9	1	4	YES	0.0001288
9	1	4	YES	0.0001051
9	1	4	YES	0.0000510
9	1	4	YES	0.0001298
9	1	4	YES	0.0001384
9	1	4	YES	0.0001286
9	1	4	YES	0.0002300
9	1	4	YES	0.0003006
9	1	4	YES	0.0001072
9	1	4	YES	0.0000904
9	1	5	YES	0.0000508
9	1	5	YES	0.0001601
9	1	4	YES	0.0000788
9	1	4	YES	0.0000730
9	1	4	YES	0.0001454
9	1	4	YES	0.0000366
9	1	4	YES	0.0000977
9	1	4	YES	0.0000513
9	1	4	YES	0.0001327
9	1	4	YES	0.0000536
9	1	4	YES	0.0001113
9	1	4	YES	0.0000655
9	1	5	YES	0.0002028
9	1	0	NO	0.0040615
9	1	0	NO	0.0041545
9	1	0	NO	0.0044928
9	1	5	YES	0.0000955
9	1	4	YES	0.0001500
9	1	4	YES	0.0000416
9	1	4	YES	0.0000922
9	1	4	YES	0.0000631
9	1	4	YES	0.0000436
9	1	4	YES	0.0000974
9	1	4	YES	0.0001246
NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
1	2	4	YES	0.0000489
1	2	5	YES	0.0005501
1	2	4	YES	0.0000374
1	2	4	YES	0.0000602
1	2	4	YES	0.0000198
1	2	0	NO	0.0267548
1	2	0	NO	0.0344550
1	2	4	YES	0.0000357
1	2	0	NO	0.0360966
1	2	4	YES	0.0000356
1	2	0	NO	0.0349617
1	2	0	NO	0.0353599
1	2	4	YES	0.0000175
1	2	0	NO	0.0367116
1	2	4	YES	0.0000372
1	2	5	YES	0.0000584
1	2	0	NO	0.0402374
1	2	0	NO	0.0396089
1	2	0	NO	0.0423417
1	2	0	NO	0.0403351
1	2	4	YES	0.0000385
1	2	0	NO	0.0422561
1	2	0	NO	0.0419286
1	2	4	YES	0.0000422
1	2	4	YES	0.0000377
1	2	0	NO	0.0422573
1	2	0	NO	0.0415534
1	2	0	NO	0.0508491
1	2	0	NO	0.0321713
1	2	5	YES	0.0000468
1	2	5	YES	0.0000359
1	2	5	YES	0.0000353
1	2	0	NO	0.0293840
1	2	4	YES	0.0000263
1	2	0	NO	0.0317840
1	2	0	NO	0.0315693
1	2	0	NO	0.0321063
1	2	0	NO	0.0620737
1	2	5	YES	0.0000429
1	2	5	YES	0.0000545
1	2	0	NO	0.0362780
1	2	4	YES	0.0000419
1	2	0	NO	0.0362827
1	2	4	YES	0.0000177
